feature_1,class
-26.089788,glioma
-33.61327,glioma
-32.503353,glioma
-25.020967,glioma
-31.834152,glioma
-29.250404,glioma
-26.618097,glioma
-16.766878,glioma
-14.099176,glioma
-13.615547,glioma
-15.744282,glioma
-12.104504,glioma
-33.334805,glioma
-32.162094,glioma
-25.208656,glioma
-22.989124,glioma
-21.598728,glioma
-36.15529,glioma
-21.193785,glioma
-19.954529,glioma
-24.083195,glioma
-30.603865,glioma
-19.788782,glioma
-19.258064,glioma
-18.114515,glioma
-27.216738,glioma
-36.381588,glioma
-53.845066,glioma
-47.059246,glioma
-47.33986,glioma
-44.885296,glioma
-41.24148,glioma
-32.852978,glioma
-34.92056,glioma
-47.11219,glioma
-46.781727,glioma
-44.35362,glioma
-38.755833,glioma
-33.633095,glioma
-34.424953,glioma
-24.024752,glioma
-33.63968,glioma
-24.179132,glioma
-31.904533,glioma
-31.24595,glioma
-32.575176,glioma
-42.476395,glioma
-32.12206,glioma
-53.298447,glioma
-45.789047,glioma
-41.353683,glioma
-48.05684,glioma
-41.32118,glioma
-46.8638,glioma
-43.653954,glioma
-36.487926,glioma
-36.882744,glioma
-41.804016,glioma
-47.059937,glioma
-52.92889,glioma
-50.534203,glioma
-48.808224,glioma
-49.270706,glioma
-35.64571,glioma
-39.273968,glioma
-38.209206,glioma
-33.06727,glioma
-31.369953,glioma
-34.658367,glioma
-39.15477,glioma
-41.10456,glioma
-39.979683,glioma
-42.01017,glioma
-38.156776,glioma
-39.174034,glioma
-38.628838,glioma
-49.725147,glioma
-43.027645,glioma
-44.38706,glioma
-44.145218,glioma
-46.83938,glioma
-47.81136,glioma
-48.287045,glioma
-46.275093,glioma
-45.907555,glioma
-37.847572,glioma
-44.676098,glioma
-48.35711,glioma
-49.664085,glioma
-46.74703,glioma
-48.108868,glioma
-47.41609,glioma
-47.96843,glioma
-47.990646,glioma
-43.0949,glioma
-40.03354,glioma
-48.901585,glioma
-42.718163,glioma
-41.172703,glioma
-47.74167,glioma
-43.076244,glioma
-39.81742,glioma
-25.465729,glioma
-13.951782,glioma
-23.142536,glioma
-6.4157987,glioma
-14.629173,glioma
-22.299314,glioma
-24.172178,glioma
-28.778202,glioma
-26.117277,glioma
-17.604797,glioma
-9.446242,glioma
-12.565178,glioma
-15.130724,glioma
-34.30688,glioma
-30.203814,glioma
-24.71825,glioma
-22.780659,glioma
-17.395147,glioma
-26.321537,glioma
-29.320295,glioma
-30.157969,glioma
-24.333023,glioma
-30.000853,glioma
-27.798183,glioma
-34.49694,glioma
-39.993416,glioma
-31.61192,glioma
-27.00037,glioma
-31.696327,glioma
-24.760942,glioma
-21.703444,glioma
-15.090402,glioma
-16.196789,glioma
-41.423298,glioma
-35.663586,glioma
-21.59117,glioma
-28.665253,glioma
-15.722093,glioma
-25.740314,glioma
-25.572935,glioma
-16.135363,glioma
-12.927147,glioma
-25.091587,glioma
-23.881521,glioma
-18.63485,glioma
-19.382357,glioma
-13.744447,glioma
-9.064314,glioma
-16.76486,glioma
-11.045478,glioma
-15.782273,glioma
-20.924437,glioma
-17.949482,glioma
-26.456009,glioma
-36.92036,glioma
